date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:14	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2022:18:14%20GMT	https://www.googletagmanager.com/robots.txt		(from https://www.nequi.com.co/)
17:18:14	86/86	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:18:14%20GMT	https://www.nequi.com.pa/robots.txt		(from https://www.nequi.com.co/)
17:18:15	448/448	---MCZ	200	added ('OK')	text/plain	etag:W/%22c963ace6a7820efae0bc2f522cc3b785%22	https://ayuda.nequi.com.co/robots.txt		(from https://www.nequi.com.co/)
17:18:16	119/119	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:18:16%20GMT	https://comunidad.nequi.co/robots.txt		(from https://www.nequi.com.co/)
17:18:17	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2022:18:17%20GMT	https://transacciones.nequi.com/robots.txt		(from https://www.nequi.com.co/)
17:18:18	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2022:18:18%20GMT	https://recarga.nequi.com.co/robots.txt		(from https://www.nequi.com.co/)
17:18:18	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Oct%202023%2023:51:23%20GMT	https://metidasdeplata.nequi.com.co/robots.txt		(from https://www.nequi.com.co/)
17:18:19	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2010%20Oct%202023%2022:18:19%20GMT	https://www.nequi.com.co/emprendimiento	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/emprendimiento.html	(from https://www.nequi.com.co/)
17:18:19	233/233	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:18:19%20GMT	https://www.tiktok.com/robots.txt		(from https://www.nequi.com.co/)
17:18:20	245/245	---M-Z	200	added ('OK')	text/plain	date:Fri,%2006%20Oct%202023%2003:20:16%20GMT	https://www.instagram.com/robots.txt		(from https://www.nequi.com.co/)
17:18:20	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2010%20Oct%202023%2022:18:19%20GMT	https://www.nequi.com.co/blog/tips-para-hacerle-el-quite-a-la-inflacion	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/blog/tips-para-hacerle-el-quite-a-la-inflacion.html	(from https://www.nequi.com.co/)
17:18:20	2542/2542	---MCZ	200	added ('OK')	text/plain	etag:W/%2264ee325b-1a79e%22	https://www.linkedin.com/robots.txt		(from https://www.nequi.com.co/)
17:18:21	875/875	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:18:21%20GMT	https://www.facebook.com/robots.txt		(from https://www.nequi.com.co/)
17:18:22	342/342	---M-Z	200	added ('OK')	text/plain	date:Tue,%2013%20Jun%202023%2021:38:00%20GMT	https://www.youtube.com/robots.txt		(from https://www.nequi.com.co/)
17:18:23	714/714	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Oct%202023%2022:18:23%20GMT	https://play.google.com/robots.txt		(from https://www.nequi.com.co/)
17:18:24	158/158	---M-Z	200	added ('OK')	text/plain	etag:%22ec5e9fbfe1774f7cdcd2bc2c9badb12a%22	https://apps.apple.com/robots.txt		(from https://www.nequi.com.co/)
17:18:25	74/74	---M--	200	added ('OK')	text/plain	etag:%2264f9773d-4a%22	https://appgallery.huawei.com/robots.txt		(from https://www.nequi.com.co/)
17:18:26	0/-1	---M--	502	error ('')			https://www.nequi.com.co/blog/como-ahorrar-cuando-me-hacen-falta-ganas-y-voluntad	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/blog/como-ahorrar-cuando-me-hacen-falta-ganas-y-voluntad.html	(from https://www.nequi.com.co/)
17:18:31	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2010%20Oct%202023%2022:18:26%20GMT	https://www.nequi.com.co/emprendimiento	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/emprendimiento.html	(from https://www.nequi.com.co/)
17:18:31	0/-1	---M--	502	error ('')			https://www.nequi.com.co/blog/como-ahorrar-cuando-me-hacen-falta-ganas-y-voluntad	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/blog/como-ahorrar-cuando-me-hacen-falta-ganas-y-voluntad.html	(from https://www.nequi.com.co/)
17:18:31	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2010%20Oct%202023%2022:18:27%20GMT	https://www.nequi.com.co/blog/tips-para-hacerle-el-quite-a-la-inflacion	C:/Users/Carolain/Downloads/nequi_login/www.nequi.com.co/blog/tips-para-hacerle-el-quite-a-la-inflacion.html	(from https://www.nequi.com.co/)
